producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
1,2,0,0,1,2,0,0,0,3,1,298.627
1,2,0,0,1,2,0,0,0,4,1,300.97
1,2,0,0,1,2,0,0,1,0,1,300.769
1,2,0,0,1,2,0,0,1,1,1,299.704
1,2,0,0,1,2,0,0,1,2,1,301.406
1,2,0,0,1,2,0,0,1,3,1,300.508
1,2,0,0,1,2,0,0,1,4,1,303.259
1,2,0,0,1,2,0,0,2,0,1,351.559
1,2,0,0,1,2,0,0,2,1,1,351.522
1,2,0,0,1,2,0,0,2,2,1,353.089
1,2,0,0,1,2,0,0,2,3,1,351.506
1,2,0,0,1,2,0,0,2,4,1,352.104
1,2,0,0,1,2,0,0,3,0,1,491.439
1,2,0,0,1,2,0,0,3,1,1,487.205
1,2,0,0,1,2,0,0,3,2,1,491.945
1,2,0,0,1,2,0,0,3,3,1,494.918
1,2,0,0,1,2,0,0,3,4,1,488.978
1,2,0,0,1,2,0,0,4,0,1,792.41
1,2,0,0,1,2,0,0,4,1,1,793.76
1,2,0,0,1,2,0,0,4,2,1,790.602
1,2,0,0,1,2,0,0,4,3,1,768.18
1,2,0,0,1,2,0,0,4,4,1,769.393
1,2,0,0,1,2,0,0,5,0,1,701.264
1,2,0,0,1,2,0,0,5,1,1,688.656
1,2,0,0,1,2,0,0,5,2,1,668.302
1,2,0,0,1,2,0,0,5,3,1,700.713
1,2,0,0,1,2,0,0,5,4,1,697.173
1,2,0,0,1,2,0,0,6,0,1,746.401
1,2,0,0,1,2,0,0,6,1,1,743.654
1,2,0,0,1,2,0,0,6,2,1,736.972
1,2,0,0,1,2,0,0,6,3,1,740.312
1,2,0,0,1,2,0,0,6,4,1,736.266
1,2,0,0,1,2,0,0,7,0,1,745.498
1,2,0,0,1,2,0,0,7,1,1,733.864
1,2,0,0,1,2,0,0,7,2,1,723.753
1,2,0,0,1,2,0,0,7,3,1,750.609
1,2,0,0,1,2,0,0,7,4,1,758.831
1,2,0,0,1,2,0,0,8,0,1,867.784
1,2,0,0,1,2,0,0,8,1,1,861.077
1,2,0,0,1,2,0,0,8,2,1,894.454
1,2,0,0,1,2,0,0,8,3,1,904.912
1,2,0,0,1,2,0,0,8,4,1,326.586
1,3,0,0,1,3,0,0,0,0,1,298.951
1,3,0,0,1,3,0,0,0,1,1,298.011
1,3,0,0,1,3,0,0,0,2,1,299.708
1,3,0,0,1,3,0,0,0,3,1,295.01
1,3,0,0,1,3,0,0,0,4,1,298.889
1,3,0,0,1,3,0,0,1,0,1,299.294
1,3,0,0,1,3,0,0,1,1,1,300.489
1,3,0,0,1,3,0,0,1,2,1,299.666
1,3,0,0,1,3,0,0,1,3,1,299.702
1,3,0,0,1,3,0,0,1,4,1,297.914
1,3,0,0,1,3,0,0,2,0,1,349.897
1,3,0,0,1,3,0,0,2,1,1,351.778
1,3,0,0,1,3,0,0,2,2,1,350.813
1,3,0,0,1,3,0,0,2,3,1,350.589
1,3,0,0,1,3,0,0,2,4,1,348.249
1,3,0,0,1,3,0,0,3,0,1,487.122
1,3,0,0,1,3,0,0,3,1,1,486.242
1,3,0,0,1,3,0,0,3,2,1,488.228
1,3,0,0,1,3,0,0,3,3,1,491.748
1,3,0,0,1,3,0,0,3,4,1,481.879
1,3,0,0,1,3,0,0,4,0,1,786.384
1,3,0,0,1,3,0,0,4,1,1,787.679
1,3,0,0,1,3,0,0,4,2,1,786.037
1,3,0,0,1,3,0,0,4,3,1,781.919
1,3,0,0,1,3,0,0,4,4,1,784.429
1,3,0,0,1,3,0,0,5,0,1,693.81
1,3,0,0,1,3,0,0,5,1,1,687.394
1,3,0,0,1,3,0,0,5,2,1,689.527
1,3,0,0,1,3,0,0,5,3,1,695.205
1,3,0,0,1,3,0,0,5,4,1,698
1,3,0,0,1,3,0,0,6,0,1,728.105
1,3,0,0,1,3,0,0,6,1,1,731.04
1,3,0,0,1,3,0,0,6,2,1,731.55
1,3,0,0,1,3,0,0,6,3,1,724.492
1,3,0,0,1,3,0,0,6,4,1,727.768
1,3,0,0,1,3,0,0,7,0,1,723.287
1,3,0,0,1,3,0,0,7,1,1,719.576
1,3,0,0,1,3,0,0,7,2,1,728.063
1,3,0,0,1,3,0,0,7,3,1,719.686
1,3,0,0,1,3,0,0,7,4,1,725.31
1,3,0,0,1,3,0,0,8,0,1,883.346
