producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
1,31,0,1,1,7,0,0,0,1,1,76.9811665875,19322520,3.729954
1,31,0,1,1,7,0,0,0,2,1,107.682407484,19322520,3.729954
1,31,0,1,1,7,0,0,0,3,1,87.7424813581,19322520,3.729954
1,31,0,1,1,7,0,0,0,4,1,78.1264672704,19322520,3.729954
2,0,0,0,2,0,0,0,0,0,1,336.789827955,30668400,2.350082
2,0,0,0,2,0,0,0,0,1,1,337.076236136,30668400,2.350082
2,0,0,0,2,0,0,0,0,2,1,326.15868734,30668400,2.350082
2,0,0,0,2,0,0,0,0,3,1,333.823351059,30668400,2.350082
2,0,0,0,2,0,0,0,0,4,1,334.281461843,30668400,2.350082
2,1,0,0,2,1,0,0,0,0,1,351.06029692,34177920,2.108755
2,1,0,0,2,1,0,0,0,1,1,334.341525356,34177920,2.108755
2,1,0,0,2,1,0,0,0,2,1,332.003602915,34177920,2.108755
2,1,0,0,2,1,0,0,0,3,1,307.094978037,34177920,2.108755
2,1,0,0,2,1,0,0,0,4,1,340.675316585,34177920,2.108755
2,3,0,0,2,3,0,0,0,0,1,80.2622085553,8321040,8.661454
2,3,0,0,2,3,0,0,0,1,1,65.5820535325,8321040,8.661454
2,3,0,0,2,3,0,0,0,2,1,71.9206228322,8321040,8.661454
2,3,0,0,2,3,0,0,0,3,1,66.717161183,8321040,8.661454
2,3,0,0,2,3,0,0,0,4,1,68.3672055701,8321040,8.661454
2,4,0,0,2,4,0,0,0,0,1,327.152507596,31750320,2.270019
2,4,0,0,2,4,0,0,0,1,1,313.489927033,31750320,2.270019
2,4,0,0,2,4,0,0,0,2,1,336.339165276,31750320,2.270019
2,4,0,0,2,4,0,0,0,3,1,332.544406302,31750320,2.270019
2,4,0,0,2,4,0,0,0,4,1,334.473594118,31750320,2.270019
2,5,0,0,2,5,0,0,0,0,1,352.87394541,29150520,2.472449
2,5,0,0,2,5,0,0,0,1,1,345.423267782,29150520,2.472449
2,5,0,0,2,5,0,0,0,2,1,318.012342892,29150520,2.472449
2,5,0,0,2,5,0,0,0,3,1,313.145121827,29150520,2.472449
2,5,0,0,2,5,0,0,0,4,1,293.755203292,29150520,2.472449
2,6,0,0,2,6,0,0,0,0,1,354.050287991,32797800,2.197468
2,6,0,0,2,6,0,0,0,1,1,332.659756948,32797800,2.197468
2,6,0,0,2,6,0,0,0,2,1,327.611252307,32797800,2.197468
2,6,0,0,2,6,0,0,0,3,1,335.299379302,32797800,2.197468
2,6,0,0,2,6,0,0,0,4,1,321.603679989,32797800,2.197468
2,7,0,0,2,7,0,0,0,0,1,305.526301609,33048960,2.180773
